"D1","D2","D3","Output3","D4","D5","D6","D7","D8","D9","D10","D11"
75.87,"G",66,"Class3",18,84.261,46,88.423,82.446,87.446,87.61,"C"
90.588,"N",71,"Class3",19,84.65,49,81.569,79.177,78.506,87.279,"C"
73.738,"X",72,"Class3",24,84.471,34,NA,63.631,77.355,88.829,"T"
7.976,"B",37,"Class1",50,38.032,66,92.476,59.166,81.48,39.542,"Q"
65.403,"J",76,"Class3",22,84.171,54,81.66,86.815,79.425,87.374,"C"
72.11,"L",93,"Class2",73,3.349,34,15.435,13.469,10.389,NA,"A"
56.851,"J",74,"Class3",21,84.417,56,80.798,86.395,84.005,88.05,"T"
48.988,"N",93,"Class2",65,6.411,59,62.961,44.606,25.415,54.253,"A"
74.891,"D",94,"Class2",66,5.635,68,31.81,50.246,53.76,51.7,"X"
13.789,"V",39,"Class1",45,40.093,58,88.264,17.503,75.861,38.479,"X"
72.343,"G",65,"Class3",15,84.201,26,82.438,54.909,71.245,NA,"A"
64.11,"M",93,"Class2",63,6.941,44,19.057,20.024,12.516,94.165,"H"
55.415,"M",95,"Class2",75,7.563,35,49.756,45.998,48.738,82.86,"X"
78.047,"N",95,"Class2",76,2.146,40,-6.92,26.871,55.399,90.73,"A"
59.18,"G",70,"Class3",14,84.693,39,82.552,26.679,77.908,87.719,"A"
81.892,"L",95,"Class2",76,6.068,42,25.332,18.733,60.434,62.685,"X"
78.01,"N",69,"Class3",23,84.647,24,81.523,35.278,87.766,88.912,"T"
84.166,"G",68,"Class3",17,84.945,62,82.215,81.258,95.729,86.355,"A"
71.82,"M",93,"Class2",64,6.149,44,29.247,29.585,52.58,90.67,"X"
5.489,"V",39,"Class1",62,39.267,60,90.635,62.393,81.911,31.573,"X"
81.696,"X",77,"Class3",24,83.895,33,83.357,50.013,99.588,NA,"K"
11.079,"Z",41,"Class1",61,38.188,59,90.074,33.488,90.224,29.383,"Q"
5.323,"L",40,"Class1",59,37.97,81,89.661,20.327,86.54,32.556,"X"
12.571,"H",40,"Class1",61,37.47,68,90.047,19.159,99.184,35.612,"Q"
83.382,"D",94,"Class2",65,6.823,44,20.005,32.187,76.09,66.864,"Y"
59.256,"Y",93,"Class2",74,5.56,39,24.835,37.653,62.417,55.829,"X"
62.134,"N",76,"Class3",17,83.728,49,83.165,16.206,81.093,86.865,"A"
90.702,"J",67,"Class3",21,84.108,63,85.545,29.007,80.976,87.661,"T"
6.206,"Z",41,"Class1",57,37.621,78,NA,26.245,99.229,38.062,"R"
60.777,"D",93,"Class2",64,4.842,65,17.811,46.69,13.202,61.511,"X"
10.367,"B",39,"Class1",67,37.464,79,89.834,31.549,72.751,32.796,"X"
78.542,"G",76,"Class3",22,84.186,55,82.705,70.649,89.152,86.314,"T"
4.916,"Z",42,"Class1",40,38.822,82,NA,60.321,77.53,39.997,"X"
13.19,"Z",40,"Class1",55,38.403,72,88.368,60.52,94.241,39.81,"K"
80.162,"L",93,"Class2",72,5.5,40,30.225,46.115,53.098,74.027,"H"
6.153,"H",39,"Class1",52,39.94,61,86.328,52.725,86.54,34.798,"R"
47.16,"L",96,"Class2",65,6.08,58,27.256,44.509,42.836,94.39,"A"
80.041,"N",70,"Class3",25,84.863,22,NA,84.892,88.139,88.901,"T"
2.506,"H",41,"Class1",57,37.127,76,86.427,62.879,79.324,32.683,"R"
89.429,"X",72,"Class3",25,85.072,64,87.554,27.446,77.158,87.967,"K"
64.103,"N",65,"Class3",18,84.713,63,81.483,35.968,70.689,87.673,"A"
14.367,"V",38,"Class1",43,39.075,69,89.727,50.234,76.476,30.211,"Q"
73.091,"X",71,"Class3",18,84.661,63,86.038,27.548,93.381,86.972,"K"
13.494,"V",39,"Class1",42,39.092,81,86.329,29.145,87.033,32.694,"T"
80.517,"D",95,"Class2",65,10.624,54,9.937,12.921,37.428,56.876,"H"
14.916,"H",40,"Class1",40,38.563,75,88.93,46.128,85.083,38.226,"K"
66.842,"N",93,"Class2",72,4.754,39,42.291,33.226,34.768,67.252,"H"
72.485,"D",96,"Class2",69,7.847,44,29.626,39.192,44.286,66.295,"H"
52.999,"D",93,"Class2",71,7.525,46,8.345,13.921,36.511,55.621,"A"
15.969,"H",39,"Class1",53,39.762,63,84.914,16.957,82.906,36.859,"K"
69.95,"G",76,"Class3",23,84.474,37,82.846,45.57,74.307,NA,"A"
80.434,"G",73,"Class3",22,84.21,59,88.871,78.243,77.101,88.217,"K"
77.111,"D",95,"Class2",64,8.197,55,26.982,20.904,47.828,55.436,"Y"
10.514,"B",37,"Class1",61,38.691,77,NA,18.982,82.431,37.128,"X"
15.365,"Z",37,"Class1",39,38.764,69,89.644,31.261,91.404,37.271,"Q"
86.786,"G",70,"Class3",16,84.299,39,87.453,20.475,86.319,87.404,"K"
3.001,"V",42,"Class1",42,39.811,83,89.798,49.533,92.981,29.677,"R"
49.873,"D",96,"Class2",70,4.504,41,22.981,31.757,29.701,75.087,"X"
81.837,"X",68,"Class3",24,84.718,20,85.785,33.092,68.596,87.26,"K"
5.603,"H",38,"Class1",49,37.328,62,91.303,57.734,97.562,36.187,"T"
