"J1","J2","J3","J4","J5","J6","J7","J8","J9","Output9","J10","J11"
86.671,"P",73,64.954,14,"R",83.05,62.278,44.677,"Class3",66,37.422
82.427,"F",32,62.467,66,"Y",54.242,48.55,33.83,"Class1",50,35.858
73.943,"R",42,78.399,70,"Y",56.578,48.738,33.107,"Class1",56,60.211
79.326,"R",42,78.916,72,"O",55.219,48.155,33.182,"Class1",57,57.618
84.443,"P",31,83.338,16,"F",78.542,64.295,46.458,"Class3",49,18.167
55.19,"T",70,49.827,23,"X",15.812,15.049,74.884,"Class2",73,66.471
86.401,"P",65,68.19,16,"O",82.248,61.799,54.538,"Class3",81,79.899
31.745,"J",39,35.293,65,"V",56.623,48.571,33.859,"Class1",43,62.684
79.732,"D",65,67.168,34,"R",72.386,64.599,29.923,"Class3",79,81.695
13.264,"R",36,79.437,81,"B",59.051,48.71,33.531,"Class1",34,75.129
71.499,"J",42,74.186,77,"Y",58.599,48.264,33.388,"Class1",46,26.132
33.058,"E",73,72.19,27,"M",15.661,10.705,79.979,"Class2",74,78.204
39.48,"T",72,34.17,28,"X",14.608,14.566,62.761,"Class2",79,81.797
66.3,"G",69,25.84,25,"L",14.578,22.309,66.224,"Class2",79,69.31
83.194,"P",40,66.668,17,"R",83.302,65.276,23.091,"Class3",77,66.348
75.076,"R",36,57.773,73,"B",56.902,48.132,33.209,"Class1",44,39.791
41.073,"S",68,60.127,27,"M",16.87,8.822,60.038,"Class2",75,69.763
88.152,"N",13,74.924,31,"F",87.843,64.024,39.675,"Class3",75,47.819
80.04,"P",31,97.36,30,"M",73.553,61.341,46.311,"Class3",62,34.563
62.542,"A",30,65.195,86,"B",58.475,48.608,33.19,"Class1",57,34.137
26.942,"F",32,23.053,66,"Y",56.468,48.647,33.857,"Class1",40,NA
73.875,"P",72,39.829,38,"E",15.312,17.463,64.557,"Class2",79,NA
60.942,"T",72,47.267,26,"L",17.182,14.529,79.976,"Class2",72,65.985
44.133,"P",67,60.275,33,"E",15.484,19.407,78.917,"Class2",81,78.496
36.459,"P",38,38.219,83,"Y",58.447,49.021,33.886,"Class1",43,56.33
48.443,"P",71,27.662,38,"L",18.827,17.509,69.108,"Class2",77,79.419
90.665,"C",38,89.679,25,"R",79.597,63.128,33.267,"Class3",42,62.017
48.98,"A",28,48.205,70,"O",53.466,48.712,33.028,"Class1",32,49.817
45.175,"S",67,93.801,32,"X",14.274,7.755,66.146,"Class2",72,67.176
73.048,"P",68,80.185,24,"Y",19.089,11.896,81.175,"Class2",78,81.322
74.582,"T",72,35.577,36,"L",15.477,20.073,70.233,"Class2",81,65.739
39.543,"E",71,72.247,35,"E",12.799,14.243,69.721,"Class2",76,66.83
90.361,"N",43,65.122,17,"M",82.834,65.215,26.043,"Class3",86,18.363
85.338,"C",55,50.707,22,"Y",85.782,62.073,29.264,"Class3",59,84.486
48.028,"S",72,54.604,30,"M",15.091,18.892,61.01,"Class2",72,NA
13.556,"J",30,48.137,90,"Y",61.162,48.397,33.641,"Class1",26,60.585
80.298,"N",45,90.858,19,"M",85.684,65.601,31.659,"Class3",46,63.62
15.269,"R",44,69.638,76,"J",59.231,48.416,33.584,"Class1",48,65.533
47.042,"P",68,26.443,37,"X",14.001,7.196,59.169,"Class2",80,70.155
76.914,"J",NA,60.399,86,"B",54.15,48.044,33.403,"Class1",26,58.128
55.68,"R",31,33.101,60,"B",58.75,48.478,33.952,"Class1",58,53.089
43.976,"E",67,35.249,35,"Y",17.583,15.515,60.52,"Class2",73,86.993
54.532,"P",70,22.633,32,"Y",16.798,13.959,65.916,"Class2",74,79.797
84.789,"C",54,79.237,30,"R",80.695,64.717,18.484,"Class3",44,NA
81.341,"D",62,70.656,35,"Y",72.919,65.26,55.629,"Class3",50,9.262
38.055,"S",67,35.692,27,"Y",16.532,18.035,74.139,"Class2",77,76.895
32.448,"G",69,59.739,29,"X",16.363,15.029,61.014,"Class2",73,75.384
68.614,"R",41,51.739,85,"Y",57.108,48.848,33.955,"Class1",45,36.778
27.563,"R",26,26.158,63,"Y",61.499,48.699,33.477,"Class1",36,64.633
90.497,"P",72,70.983,26,"M",75.127,64.389,13.669,"Class3",55,64.208
80.577,"N",41,99.051,14,"F",69.777,62.375,30.917,"Class3",79,48.515
52.28,"E",68,49.428,33,"E",11.158,2.079,69.609,"Class2",72,82.684
84.682,"P",50,60.608,36,"F",80.062,63.086,30.324,"Class3",79,48.512
51.577,"G",71,45.928,24,"X",18.457,4.031,68.204,"Class2",81,73.054
50.013,"E",73,75.717,35,"L",14.391,3.049,63.548,"Class2",79,68.1
31.154,"P",44,81.162,71,"V",58.606,48.417,33.477,"Class1",38,51.893
88.037,"P",32,64.801,16,"F",81.81,62.961,32.94,"Class3",73,22.544
87.21,"P",48,89.778,35,"Y",77.696,64.573,15.56,"Class3",58,60.482
84.085,"N",61,80.152,15,"M",76.684,64.719,47.381,"Class3",81,88.98
75.318,"E",72,52.494,23,"L",17.04,19.416,68.541,"Class2",74,84.39
86.874,"P",8,74.87,22,"F",73.943,64.937,56.903,"Class3",52,9.581
16.146,"A",37,53.096,67,"V",60.861,47.584,33.404,"Class1",34,43.613
71.92,"P",34,35.662,68,"O",56.159,48.684,33.191,"Class1",37,28.929
32.325,"P",30,81.565,66,"B",54.951,48.601,33.201,"Class1",26,52.841
60.248,"S",72,77.958,24,"M",13.295,12.311,80.861,"Class2",80,72.073
35.87,"P",31,65.727,64,"V",59.492,48.502,33.341,"Class1",45,66.017
84.231,"Y",44,75.646,24,"Y",81.308,64.042,14.923,"Class3",49,47.628
52.439,"S",68,50.117,38,"X",14.951,15.484,81.487,"Class2",74,87.913
86.844,"N",NA,91.855,23,"M",74.063,64.127,57.591,"Class3",64,94.627
88.119,"P",NA,59.467,35,"Y",73.762,67.438,17.649,"Class3",79,30.469
67.058,"P",67,41.015,28,"M",15.4,15.513,65.378,"Class2",78,67.112
65.28,"T",67,76.629,29,"M",16.728,15.064,59.211,"Class2",75,81.572
55.566,"S",68,40.581,30,"Y",14.999,11.748,73.937,"Class2",81,91.2
75.002,"T",73,35.584,23,"L",15.081,12.857,75.404,"Class2",74,NA
83.693,"Y",15,68.705,22,"F",81.429,60.798,24.09,"Class3",71,58.6
89.221,"D",70,69.484,29,"M",79.854,64.928,18.314,"Class3",72,29.827
87.853,"D",24,81.731,22,"O",73.947,66.077,29.892,"Class3",81,66.211
29.042,"A",43,63.646,73,"B",58.679,48.363,33.886,"Class1",55,67.013
88.936,"Y",12,65.45,28,"M",79.701,64.776,26.694,"Class3",70,25.118
4.093,"J",41,62.031,80,"B",54.691,48.585,33.197,"Class1",27,72.442
51.637,"P",43,52.728,72,"Y",55.807,48.461,33.596,"Class1",34,73.78
65.282,"G",67,59.538,34,"Y",12.469,16.292,69.495,"Class2",74,85.978
83.224,"C",53,65.495,30,"M",80.214,62.575,51.647,"Class3",70,30.417
73.932,"P",42,42.308,84,"J",56.578,48.366,33.882,"Class1",30,69.095
81.59,"J",39,39.923,76,"B",54.665,48.319,33.158,"Class1",28,61.859
49.919,"S",69,77.278,28,"X",16.413,7.722,79.237,"Class2",80,65.454
57.836,"P",72,83.953,36,"X",13.85,25.47,76.341,"Class2",76,71.248
10.07,"J",35,38.925,87,"Y",60.392,48.16,33.14,"Class1",25,58.923
83.993,"P",7,82.37,28,"M",80.607,61.689,47.474,"Class3",76,62.051
86.463,"P",47,57.457,28,"R",78.464,64.542,26.999,"Class3",85,48.07
41.342,"R",27,83.852,84,"J",58.697,48.45,33.476,"Class1",52,76.773
7.09,"J",43,77.75,68,"B",60.619,48.213,33.121,"Class1",56,69.992
71.934,"P",68,95.562,33,"M",14.011,8.431,78.675,"Class2",79,82.919
30.688,"R",42,37.381,90,"B",58.229,48.647,33.491,"Class1",37,34.096
64.81,"P",69,79.708,23,"L",15.465,19.358,79.003,"Class2",76,66.523
85.379,"D",36,86.606,35,"M",82.503,63.105,16.458,"Class3",80,NA
36.331,"E",72,37.274,28,"Y",14.763,21.891,58.537,"Class2",80,87.482
80.832,"D",45,75.725,25,"R",74.124,63.141,58.956,"Class3",80,89.472
62.271,"P",42,79.472,71,"O",56.903,48.954,33.598,"Class1",59,68.184
58.78,"G",70,26.971,25,"E",14.495,12.95,70.511,"Class2",76,76.171
63.95,"E",67,78.926,33,"M",16.235,20.366,57.967,"Class2",78,89.518
50.454,"S",71,98.176,27,"Y",15.009,21.587,77.441,"Class2",72,83.102
84.226,"N",15,73.042,33,"F",77.119,66.136,15.681,"Class3",68,15.935
83.832,"D",27,83.463,30,"F",75.707,61.284,12.654,"Class3",68,61.686
63.707,"P",32,38.263,66,"V",57.07,48.595,33.184,"Class1",52,44.96
79.769,"N",67,76.868,30,"M",82.713,65.168,47.274,"Class3",53,73.015
40.012,"F",33,64.67,85,"B",55.673,49.022,33.785,"Class1",41,64.978
47.136,"P",29,40.689,89,"B",57.713,48.674,33.559,"Class1",32,36.613
85.424,"P",24,50.271,19,"O",86.091,65.277,50.045,"Class3",79,42.924
82.75,"Y",12,85.469,18,"F",79.927,62.796,29.496,"Class3",58,39.218
81.141,"C",49,92.219,30,"F",88.215,63.731,17.363,"Class3",63,17.42
16.055,"J",27,36.05,88,"Y",57.044,48.679,33.042,"Class1",30,38.116
37.381,"A",27,40.187,75,"B",61.021,48.383,33.991,"Class1",43,69.49
38.72,"E",68,27.595,37,"E",15.597,7.264,63.126,"Class2",78,86.744
83.255,"N",38,51.256,24,"M",80.079,63.874,41.151,"Class3",75,82.213
90.691,"N",11,66.099,34,"R",84.824,64.474,61.592,"Class3",44,82.719
81.023,"P",39,69.856,16,"F",81.603,63.326,46.974,"Class3",73,NA
57.109,"P",68,48.007,38,"E",13.302,12.154,75.733,"Class2",72,89.446
33.891,"G",68,17.307,30,"L",17.174,14.23,72.214,"Class2",80,69.164
21.065,"R",NA,60.449,80,"J",60.164,48.58,33.275,"Class1",32,34.175
45.168,"G",67,72.596,26,"Y",14.326,19.221,67.972,"Class2",81,69.602
85.495,"C",15,84.443,16,"M",80.193,64.291,56.263,"Class3",52,16.306
90.726,"D",24,64.15,22,"F",76.132,63.47,14.608,"Class3",47,38.921
20.438,"A",35,64.203,87,"V",56.221,48.64,33.939,"Class1",28,50.529
72.636,"T",68,34.727,31,"M",11.876,12.388,66.184,"Class2",77,88.905
44.664,"S",71,74.337,30,"Y",13.033,15,59.397,"Class2",72,70.038
81.727,"D",66,84.546,14,"F",78.302,62.858,49.03,"Class3",44,60.091
45.479,"R",43,77.426,90,"B",56.563,48.847,33.908,"Class1",58,55.805
75.804,"F",43,62.275,69,"O",55.465,48.805,33.374,"Class1",41,63.727
44.078,"F",39,38.731,86,"V",57.304,48.956,33.213,"Class1",37,75.878
56.895,"F",42,60.316,87,"V",60.578,48.564,33.944,"Class1",36,66.162
80.019,"C",34,66.426,20,"F",80.096,63.199,35.687,"Class3",49,58.627
56.022,"T",67,54.373,23,"L",16.275,12.987,78.033,"Class2",77,88.389
90.801,"P",63,65.825,29,"F",87.758,64.834,32.962,"Class3",72,79.828
19.955,"A",34,35.147,64,"J",56.913,48.572,33.478,"Class1",29,52.476
62.134,"P",73,66.816,32,"Y",17.302,5.5,66.403,"Class2",80,69.327
80.768,"Y",63,65.472,32,"M",80.809,64.186,45.564,"Class3",43,NA
75.818,"G",69,40.068,23,"X",16.571,17.567,57.583,"Class2",74,74.964
89.277,"P",20,56.809,15,"M",79.593,63.699,38.361,"Class3",71,27.834
64.837,"G",67,36.941,25,"X",11.246,20.237,59.26,"Class2",79,81.435
67.936,"R",30,68.067,67,"O",58.824,48.669,33.602,"Class1",57,69.829
