"I1","I2","I3","I4","I5","I6","I7","I8","Output8","I9","I10","I11"
86.147,8.266,"I",29.299,47.54,46,83,85,"Class3","W",39.043,24.652
70.473,15.735,"H",63.349,44.729,49,86,86,"Class3","X",43.627,21.04
47.279,42.824,"Y",36.842,71.384,63,29,14,"Class1","M",70.819,19.44
73.789,75.04,"S",58.573,49.243,56,89,87,"Class3","W",27.842,23.094
71.704,65.806,"Q",84.046,48.474,56,16,75,"Class2","T",80.373,76.2
83.659,78.816,"S",67.988,40.133,57,83,85,"Class3","I",45.702,23.454
45.492,13.721,"S",28.217,44.866,41,67,13,"Class4","Z",91.105,64.509
79.036,60.94,"J",74.418,58.575,67,37,74,"Class2","Y",82.425,80.017
48.537,55.818,"Q",45.979,15.179,22,34,15,"Class1","M",85.835,34.817
88.21,71.117,"S",90.181,44.424,61,29,26,"Class2","K",80.034,72.119
74.24,59.349,"J",87.252,48.886,59,17,40,"Class2","H",75.996,68.378
40.564,62.926,"Q",41.332,78.763,88,26,10,"Class1","B",91.532,24.315
72.879,54.659,"L",51.596,37.593,78,81,85,"Class3","T",22.368,23.295
86.904,79.659,"G",88.883,53.553,69,15,45,"Class2","H",77.607,83.146
51.636,22.575,"J",39.882,41.357,43,78,40,"Class4","O",75.699,59.888
79.159,74.213,"L",21.012,50.651,77,81,86,"Class3","E",36.34,22.377
73.047,41.975,"I",67.424,40.178,76,82,85,"Class3","T",43.853,23.298
32.658,13.285,"J",30.829,33.11,46,52,16,"Class4","O",69.487,63.841
79.37,75.153,"H",29.789,45.293,54,87,85,"Class3","I",23.804,23.512
43.702,24.495,"O",52.345,77.681,49,52,72,"Class4","Z",84.235,69.665
84.389,63.511,"J",74.555,53.911,63,55,40,"Class2","Y",77.246,79.003
26.77,21.855,"I",42.9,70.644,22,61,89,"Class4","C",86.621,60.311
42.797,66.376,"F",40.594,39.581,88,27,15,"Class1","E",85.907,36.29
92.639,69.533,"Q",64.809,48.23,68,31,39,"Class2","T",84.172,86.217
NA,27.647,"J",38.727,57.448,36,69,8,"Class4","Z",77.379,68.967
67.902,68.353,"S",61.265,61.721,54,19,76,"Class2","T",72.708,84.682
25.589,33.026,"I",49.744,31.861,43,87,28,"Class4","O",90.782,61.389
80.074,73.561,"Q",80.887,74.086,53,56,59,"Class2","H",84.746,74.28
28.889,13.226,"O",56.767,106.129,25,63,66,"Class4","Q",90.627,57.055
53.336,17.768,"I",37.565,49.983,24,81,84,"Class4","X",69.34,56.677
42.7,68.271,"E",33.392,61.916,96,29,12,"Class1","M",62.014,73.412
74.781,62.564,"M",98.307,58.023,60,18,73,"Class2","H",84.97,74.151
72.926,75.258,"Q",71.468,47.675,49,27,26,"Class2","Y",76.513,75.466
78.134,72.015,"S",77.91,56.833,61,55,35,"Class2","T",75.508,78.296
88.661,65.001,"G",85.029,51.756,56,22,70,"Class2","T",84.198,73.668
29.001,3.648,"O",40.706,78.157,53,74,48,"Class4","Q",87.926,67.832
77.048,62.424,"I",52.712,61.516,60,86,88,"Class3","X",36.764,23.276
78.951,78.811,"G",57.024,65.422,54,25,57,"Class2","Y",75.773,73.464
48.531,14.597,"V",37.956,50.54,96,35,12,"Class1","B",71.171,19.262
47.815,16.883,"E",38.32,65.878,35,24,11,"Class1","M",87.415,25.404
68.686,74.549,"G",98.959,61.616,55,62,60,"Class2","K",NA,90.099
90.065,57.258,"J",90.264,67.277,48,30,27,"Class2","H",74.443,72.809
49.826,40.022,"V",41.67,47.161,86,26,11,"Class1","M",91.678,32.604
49.654,43.117,"F",41.003,42.419,75,37,11,"Class1","B",66.3,35.275
34.842,33.725,"O",44.729,46.067,43,82,74,"Class4","O",92.144,56.003
40.356,5.858,"O",42.919,72.781,61,80,30,"Class4","Q",75.847,66.364
90.496,56.375,"I",49.66,33.05,63,84,85,"Class3","X",20.862,21.894
45.739,73.466,"Y",37.538,76.579,73,29,11,"Class1","M",88.394,36.977
28.967,28.365,"J",35.379,76.551,55,89,22,"Class4","C",66.154,61.063
79.517,73.61,"L",31.755,52.304,57,88,87,"Class3","T",19.814,20.968
52.131,11.983,"S",16.01,78.647,44,75,20,"Class4","Z",65.242,56.077
89.652,27.426,"H",61.2,32.917,46,84,87,"Class3","E",24.005,19.067
NA,43.07,"E",37.943,54.71,47,31,15,"Class1","A",88.257,47.205
NA,61.6,"E",37.152,67.247,46,24,16,"Class1","T",91.985,45.445
47.472,43.245,"Q",37.081,23.349,88,34,15,"Class1","E",67.69,29.237
67.936,82.845,"H",51.64,50.858,68,83,85,"Class3","I",19.805,21.263
42.367,11.673,"Q",41.968,50.034,48,38,14,"Class1","B",89.238,36.178
49.041,33.713,"B",59.324,73.48,50,83,52,"Class4","C",73.575,53.83
47.846,27.908,"O",47.466,59.421,49,88,15,"Class4","C",65.362,57.581
68.902,55.445,"S",33.195,45.313,59,85,86,"Class3","I",22.012,22.115
NA,72.334,"S",89.997,82.457,52,47,71,"Class2","T",77.361,76.132
69.054,64.596,"H",51.419,54.136,75,86,86,"Class3","I",17.234,22.79
88.211,18.184,"L",51.255,34.014,52,88,85,"Class3","E",30.956,23.201
41.966,14.984,"S",49.333,74.706,47,82,14,"Class4","O",84.734,56.913
86.177,81.654,"Q",88.997,48.849,70,39,57,"Class2","K",75.307,77.502
45.688,11.931,"S",38.316,82.382,28,65,63,"Class4","O",92.963,70.557
36.811,34.189,"J",45.986,35.114,57,92,40,"Class4","Q",71.813,58.386
NA,81.668,"G",58.489,65.344,60,23,69,"Class2","K",83.168,66.264
73.144,81.921,"Q",74.512,55.282,63,62,72,"Class2","T",74.57,76.561
28.169,15.635,"O",75.321,65.292,42,53,31,"Class4","X",85.211,66.602
25.51,2.867,"O",55.143,78.846,39,61,90,"Class4","X",86.272,65.656
53.111,9.008,"J",40.009,86.791,21,82,91,"Class4","Z",68.367,65.284
91.09,71.039,"M",80.257,73.673,68,38,28,"Class2","K",72.458,75.026
42.17,45.142,"Q",38.291,63.395,77,25,10,"Class1","A",79.057,53.993
53.746,31.982,"J",41.809,101.012,40,63,58,"Class4","O",70.874,63.64
39.154,64.37,"Y",35.259,32.616,93,31,15,"Class1","E",88.025,28.638
91.263,74.269,"J",77.247,53.291,59,62,63,"Class2","H",81.791,77.328
86.682,64.253,"S",76.126,52.523,54,15,77,"Class2","U",72.228,74.205
70.012,2.057,"I",53.611,55.94,55,85,87,"Class3","E",25.542,21.161
49.05,65.581,"Y",39.312,88.859,77,24,15,"Class1","T",68.025,65.562
85.615,64.725,"S",68.249,53.066,70,32,80,"Class2","U",81.719,81.269
78.728,40.014,"I",66.898,38.917,67,90,85,"Class3","I",35.888,21.645
42.846,24.025,"B",56.99,73.441,35,86,27,"Class4","Z",67.992,58.654
49.562,23.409,"B",52.088,80.276,36,90,66,"Class4","Q",75.607,65.032
76.103,60.018,"S",94.33,57.113,70,46,62,"Class2","H",80.784,77.149
71.897,32.847,"I",54.418,48.624,45,81,85,"Class3","E",23.313,20.454
34.091,33.89,"J",33.794,68.379,26,63,28,"Class4","Q",70.775,53.427
47.875,16.67,"E",38.254,81.347,38,35,16,"Class1","E",78.251,53.738
24.999,31.498,"B",41.074,103.905,37,71,89,"Class4","Q",86.055,55.441
NA,71.231,"V",37.337,68.385,79,27,17,"Class1","A",75.867,28.629
92.32,27.214,"S",60.718,31.332,53,84,88,"Class3","T",41.93,20.414
89.146,51.112,"L",35.301,36.207,77,86,87,"Class3","I",36.792,21.291
91.186,61.318,"G",61.317,59.58,68,17,28,"Class2","U",72.034,79.183
25.979,32.892,"S",65.691,94.752,47,89,64,"Class4","C",95.203,64.297
39.149,29.239,"B",64.775,62.939,44,69,73,"Class4","O",73.333,60.603
52.973,3.172,"J",47.535,97.869,51,74,46,"Class4","C",70.792,54.396
77.495,48.287,"H",67.556,51.882,46,85,86,"Class3","T",36.285,21.481
NA,68.472,"G",78.005,67.258,54,15,86,"Class2","H",79.393,64.341
40.154,51.326,"F",40.299,80.004,62,37,17,"Class1","A",64.857,19.044
48.145,75.114,"E",32.659,49.109,68,34,15,"Class1","E",83.442,39.84
